icao,iata,name,location,country,timezone,hub,lat,lon
EERU,default,Ruhnu Airfield,Ringsu,EE,Europe/Tallinn,0,57.7839012146,23.2660999298
EETA,default,Tapa Airfield,Tapa,EE,Europe/Tallinn,0,59.2407989502,25.9622001648
EETN,TLL,Tallinn Airport,Tallinn,EE,Europe/Tallinn,0,59.4132995605,24.8327999115
EETU,TAY,Tartu Airport,Tartu,EE,Europe/Tallinn,0,58.3074989319,26.6903991699
EEVI,default,Viljandi Airfield,Viljandi,EE,Europe/Tallinn,0,58.3499984741,25.4930992126
EFAA,default,Aavahelukka Airport,default,FI,Europe/Helsinki,0,67.6035995483,23.9717006683
EFAH,default,Ahmosuo Airport,Oulu,FI,Europe/Helsinki,0,64.8953018188,25.752199173
EFAL,default,Alavus Airport,Alavus,FI,Europe/Helsinki,0,62.5546989441,23.573299408
EFET,ENF,Enontekio Airport,Enontekio,FI,Europe/Helsinki,0,68.3626022339,23.4242992401
EFEU,default,Eura Airport,default,FI,Europe/Helsinki,0,61.1161003113,22.2014007568
EFFO,QVE,Forssa Airport,Forssa,FI,Europe/Helsinki,0,60.8018989563,23.6455993652
EFGE,default,Genbole Airport,Genbole,FI,Europe/Helsinki,0,60.0868988037,22.521900177
EFHA,KEV,Halli Airport,Halli / Kuorevesi,FI,Europe/Helsinki,0,61.8559989929,24.7866001129
EFHF,HEM,Helsinki Malmi Airport,Helsinki,FI,Europe/Helsinki,0,60.2546005249,25.0428009033
EFHI,default,Haapamaki Airport,default,FI,Europe/Helsinki,0,62.2578010559,24.3341999054
EFHJ,default,Haapajarvi Airport,Haapajarvi,FI,Europe/Helsinki,0,63.7122001648,25.3950004578
EFHK,HEL,Helsinki Vantaa Airport,Helsinki,FI,Europe/Helsinki,0,60.317199707,24.963300705
EFHL,default,Hailuoto Airport,default,FI,Europe/Helsinki,0,64.9669036865,24.7043991089
EFHM,default,Hameenkyro Airport,default,FI,Europe/Helsinki,0,61.6897010803,23.0736999512
EFHN,default,Hanko Airport,default,FI,Europe/Helsinki,0,59.8488998413,23.0835990906
EFHP,default,Haapavesi Airport,Haapavesi,FI,Europe/Helsinki,0,64.1130981445,25.5041999817
EFHV,HYV,Hyvinkaa Airport,default,FI,Europe/Helsinki,0,60.6543998718,24.8810997009
EFII,default,Iisalmi Airport,Iisalmi,FI,Europe/Helsinki,0,63.6319007874,27.1222000122
EFIK,default,Kiikala Airport,default,FI,Europe/Helsinki,0,60.4625015259,23.6525001526
EFIM,default,Immola Airport,default,FI,Europe/Helsinki,0,61.2491989136,28.9036998749
EFIT,KTQ,Kitee Airport,default,FI,Europe/Helsinki,0,62.1660995483,30.073600769
EFIV,IVL,Ivalo Airport,Ivalo,FI,Europe/Helsinki,0,68.6072998047,27.4053001404
EFJM,default,Jamijarvi Airport,Jamijarvi,FI,Europe/Helsinki,0,61.7785987854,22.7161006927
EFJO,JOE,Joensuu Airport,Joensuu / Liperi,FI,Europe/Helsinki,0,62.6628990173,29.6075000763
EFJP,default,Jakalapaa Airport,default,FI,Europe/Helsinki,0,68.7114028931,25.7527999878
EFJY,JYV,Jyvaskyla Airport,Jyvaskylan Maalaiskunta,FI,Europe/Helsinki,0,62.3995018005,25.6783008575
EFKA,KAU,Kauhava Airport,Kauhava,FI,Europe/Helsinki,0,63.1271018982,23.051399231
EFKE,KEM,Kemi-Tornio Airport,Kemi / Tornio,FI,Europe/Helsinki,0,65.7787017822,24.5820999146
EFKG,default,Kumlinge Airport,default,FI,Europe/Mariehamn,0,60.2468986511,20.8047008514
EFKH,default,Kuhmo Airport,default,FI,Europe/Helsinki,0,64.1125030518,29.4386005402
EFKI,KAJ,Kajaani Airport,Kajaani,FI,Europe/Helsinki,0,64.2854995728,27.6923999786
EFKJ,KHJ,Kauhajoki Airport,default,FI,Europe/Helsinki,0,62.4625015259,22.3931007385
EFKK,KOK,Kruunupyy Airport,Kokkola / Kruunupyy,FI,Europe/Helsinki,0,63.7211990356,23.1431007385
EFKM,default,Kemijarvi Airport,default,FI,Europe/Helsinki,0,66.7128982544,27.1567993164
EFKN,default,Kannus Airport,default,FI,Europe/Helsinki,0,63.9206008911,24.0867004395
EFKO,default,Kalajoki Airport,default,FI,Europe/Helsinki,0,64.2285995483,23.8264007568
EFKR,default,Karsamaki Airport,Karsamaki,FI,Europe/Helsinki,0,63.989200592,25.7436008453
EFKS,KAO,Kuusamo Airport,Kuusamo,FI,Europe/Helsinki,0,65.9876022339,29.2394008636
EFKT,KTT,Kittila Airport,Kittila,FI,Europe/Helsinki,0,67.7009963989,24.8467998505
EFKU,KUO,Kuopio Airport,Kuopio / Siilinjarvi,FI,Europe/Helsinki,0,63.0070991516,27.7978000641
EFKV,default,Kivijarvi Airport,default,FI,Europe/Helsinki,0,63.1253013611,25.1242008209
EFKY,default,Kymi Airport,Peippola,FI,Europe/Helsinki,0,60.5713996887,26.8960990906
EFLA,QLF,Lahti Vesivehmaa Airport,default,FI,Europe/Helsinki,0,61.1441993713,25.6935005188
EFLL,default,Lapinlahti Airport,Lammake,FI,Europe/Helsinki,0,63.3993988037,27.4789009094
EFLN,default,Lieksa Nurmes Airport,default,FI,Europe/Helsinki,0,63.5119018555,29.6291999817
EFLP,LPP,Lappeenranta Airport,Lappeenranta,FI,Europe/Helsinki,0,61.0446014404,28.1443996429
EFMA,MHQ,Mariehamn Airport,default,FI,Europe/Mariehamn,0,60.1222000122,19.8981990814
EFME,default,Menkijarvi Airport,default,FI,Europe/Helsinki,0,62.9467010498,23.5188999176
EFMI,MIK,Mikkeli Airport,Mikkeli,FI,Europe/Helsinki,0,61.6865997314,27.2017993927
EFMN,default,Mantsala Airport,Mantsala,FI,Europe/Helsinki,0,60.5724983215,25.5088996887
EFMP,default,Martiniiskonpalo Airport,default,FI,Europe/Helsinki,0,68.6603012085,25.7028999329
EFNS,default,Savikko Airport,default,FI,Europe/Helsinki,0,60.5200004578,24.8316993713
EFNU,default,Nummela Airport,default,FI,Europe/Helsinki,0,60.3339004517,24.2964000702
EFOP,default,Oripaa Airport,Oripaa,FI,Europe/Helsinki,0,60.8763999939,22.7446994781
